" CRUSH DATA"
"Data file SS05.txt"
"Time is 15:06:22.88."
"Date is  1-26-2005."
"TIME"	"LOAD "	"RAM"	
"Seconds"	"kN"	"MM"	
    3.589	     -69.580	      -5.951	
    3.599	     -70.801	      -5.933	
    3.609	     -70.801	      -5.933	
    3.619	     -69.580	      -5.933	
    3.629	     -69.580	      -5.933	
    3.639	     -70.801	      -5.933	
    3.649	     -70.801	      -5.914	
    3.659	     -70.801	      -5.933	
    3.669	     -70.801	      -5.933	
    3.679	     -69.580	      -5.933	
    3.690	     -69.580	      -5.933	
    3.699	     -69.580	      -5.933	
    3.709	     -69.580	      -5.914	
    3.719	     -70.801	      -5.914	
    3.729	     -70.801	      -5.914	
    3.739	     -70.801	      -5.914	
    3.750	     -69.580	      -5.933	
    3.760	     -70.801	      -5.914	
    3.770	     -70.801	      -5.933	
    3.780	     -69.580	      -5.933	
    3.790	     -69.580	      -5.933	
    3.800	     -70.801	      -5.914	
    3.810	     -70.801	      -5.933	
    3.820	     -69.580	      -5.933	
    3.830	     -69.580	      -5.914	
    3.840	     -70.801	      -5.933	
    3.849	     -69.580	      -5.914	
    3.859	     -69.580	      -5.914	
    3.869	     -70.801	      -5.933	
    3.879	     -69.580	      -5.933	
    3.889	     -70.801	      -5.933	
    3.899	     -69.580	      -5.933	
    3.909	     -72.021	      -5.933	
    3.919	     -69.580	      -5.914	
    3.929	     -70.801	      -5.914	
    3.940	     -69.580	      -5.914	
    3.949	     -70.801	      -5.933	
    3.959	     -69.580	      -5.933	
    3.970	     -70.801	      -5.933	
    3.980	     -70.801	      -5.914	
    3.990	     -69.580	      -5.933	
    4.000	     -69.580	      -5.933	
    4.010	     -69.580	      -5.933	
    4.019	     -70.801	      -5.933	
    4.030	     -70.801	      -5.933	
    4.039	     -69.580	      -5.933	
    4.050	     -69.580	      -5.933	
    4.060	     -69.580	      -5.914	
    4.070	     -70.801	      -5.933	
    4.078	     -69.580	      -5.914	
    4.089	     -70.801	      -5.933	
    4.098	     -69.580	      -5.933	
    4.109	     -70.801	      -5.914	
    4.118	     -69.580	      -5.933	
    4.129	     -69.580	      -5.914	
    4.139	     -70.801	      -5.914	
    4.149	     -70.801	      -5.914	
    4.159	     -69.580	      -5.933	
    4.169	     -69.580	      -5.933	
    4.179	     -70.801	      -5.933	
    4.190	     -69.580	      -5.933	
    4.200	     -70.801	      -5.933	
    4.210	     -69.580	      -5.933	
    4.220	     -70.801	      -5.933	
    4.230	     -69.580	      -5.933	
    4.240	     -70.801	      -5.914	
    4.250	     -69.580	      -5.914	
    4.260	     -69.580	      -5.933	
    4.269	     -70.801	      -5.914	
    4.280	     -69.580	      -5.933	
    4.289	     -70.801	      -5.914	
    4.299	     -69.580	      -5.933	
    4.309	     -69.580	      -5.933	
    4.319	     -70.801	      -5.933	
    4.328	     -70.801	      -5.914	
    4.339	     -69.580	      -5.933	
    4.348	     -70.801	      -5.914	
    4.359	     -70.801	      -5.933	
    4.369	     -69.580	      -5.933	
    4.380	     -69.580	      -5.914	
    4.389	     -70.801	      -5.933	
    4.399	     -70.801	      -5.914	
    4.410	     -69.580	      -5.951	
    4.420	     -70.801	      -5.914	
    4.430	     -69.580	      -5.933	
    4.440	     -69.580	      -5.914	
    4.450	     -69.580	      -5.933	
    4.460	     -69.580	      -5.933	
    4.470	     -69.580	      -5.914	
    4.480	     -69.580	      -5.933	
    4.490	     -69.580	      -5.933	
    4.500	     -70.801	      -5.914	
    4.510	     -70.801	      -5.933	
    4.519	     -69.580	      -5.933	
    4.529	     -69.580	      -5.933	
    4.539	     -70.801	      -5.933	
    4.549	     -69.580	      -5.933	
    4.559	     -69.580	      -5.933	
    4.569	     -70.801	      -5.914	
    4.578	     -70.801	      -5.933	
    4.589	     -70.801	      -5.914	
    4.599	     -69.580	      -5.914	
    4.609	     -69.580	      -5.933	
    4.619	     -70.801	      -5.914	
    4.630	     -69.580	      -5.933	
    4.640	     -69.580	      -5.914	
    4.650	     -68.359	      -5.933	
    4.660	     -69.580	      -5.914	
    4.670	     -69.580	      -5.933	
    4.680	     -70.801	      -5.933	
    4.690	     -69.580	      -5.914	
    4.700	     -64.697	      -5.896	
    4.710	     -63.477	      -5.896	
    4.720	     -65.918	      -5.896	
    4.729	     -58.594	      -5.878	
    4.739	     -64.697	      -5.896	
    4.749	     -51.270	      -5.841	
    4.759	     -40.283	      -5.676	
    4.769	     -70.801	      -5.859	
    4.779	     -95.215	      -6.061	
    4.789	     -93.994	      -6.061	
    4.799	    -109.863	      -6.152	
    4.809	    -118.408	      -6.226	
    4.820	    -102.539	      -6.189	
    4.828	     -80.566	      -6.116	
    4.839	     -91.553	      -6.116	
    4.850	     -98.877	      -6.171	
    4.860	    -129.395	      -6.299	
    4.870	    -104.980	      -6.281	
    4.880	     -95.215	      -6.189	
    4.890	     -68.359	      -6.061	
    4.900	     -62.256	      -5.969	
    4.910	     -51.270	      -5.878	
    4.920	     -86.670	      -6.042	
    4.930	    -112.305	      -6.226	
    4.940	     -73.242	      -6.079	
    4.949	     -84.229	      -6.061	
    4.959	     -96.436	      -6.152	
    4.969	    -109.863	      -6.226	
    4.979	     -73.242	      -6.079	
    4.989	     -47.607	      -5.859	
    4.999	     -47.607	      -5.786	
    5.009	     -72.021	      -5.933	
    5.019	    -106.201	      -6.171	
    5.029	    -133.057	      -6.354	
    5.040	     -98.877	      -6.281	
    5.049	     -68.359	      -6.079	
    5.059	     -54.932	      -5.933	
    5.070	     -54.932	      -5.896	
    5.080	     -43.945	      -5.786	
    5.090	     -36.621	      -5.640	
    5.100	     -46.387	      -5.658	
    5.110	     -41.504	      -5.640	
    5.120	     -24.414	      -5.402	
    5.130	     -32.959	      -5.365	
    5.140	     -47.607	      -5.511	
    5.150	     -51.270	      -5.621	
    5.160	     -58.594	      -5.713	
    5.170	     -78.125	      -5.878	
    5.179	     -68.359	      -5.914	
    5.189	     -54.932	      -5.786	
    5.199	     -32.959	      -5.511	
    5.209	     -45.166	      -5.548	
    5.219	     -69.580	      -5.786	
    5.229	     -90.332	      -5.988	
    5.239	    -102.539	      -6.152	
    5.249	    -107.422	      -6.207	
    5.259	     -70.801	      -6.024	
    5.269	     -62.256	      -5.933	
    5.279	     -98.877	      -6.134	
    5.290	     -81.787	      -6.097	
    5.299	     -54.932	      -5.914	
    5.310	     -42.725	      -5.713	
    5.320	     -32.959	      -5.530	
    5.330	     -39.063	      -5.511	
    5.340	     -47.607	      -5.621	
    5.350	     -36.621	      -5.548	
