" CRUSH DATA"
"Data file SS05.txt"
"Time is 13:55:18.90."
"Date is  1-26-2005."
"TIME"	"LOAD "	"RAM"	
"Seconds"	"kN"	"MM"	
    3.870	    -141.602	      -5.933	
    3.880	    -140.381	      -5.933	
    3.890	    -140.381	      -5.914	
    3.900	    -140.381	      -5.933	
    3.910	    -140.381	      -5.933	
    3.920	    -140.381	      -5.933	
    3.930	    -141.602	      -5.914	
    3.940	    -141.602	      -5.933	
    3.950	    -140.381	      -5.933	
    3.960	    -140.381	      -5.933	
    3.970	    -141.602	      -5.914	
    3.980	    -141.602	      -5.914	
    3.990	    -140.381	      -5.933	
    4.000	    -141.602	      -5.914	
    4.011	    -141.602	      -5.914	
    4.021	    -140.381	      -5.933	
    4.031	    -141.602	      -5.933	
    4.041	    -141.602	      -5.914	
    4.051	    -140.381	      -5.933	
    4.061	    -140.381	      -5.933	
    4.071	    -140.381	      -5.933	
    4.081	    -141.602	      -5.933	
    4.090	    -140.381	      -5.914	
    4.101	    -141.602	      -5.933	
    4.110	    -140.381	      -5.914	
    4.120	    -140.381	      -5.933	
    4.130	    -141.602	      -5.914	
    4.140	    -140.381	      -5.914	
    4.150	    -140.381	      -5.933	
    4.160	    -141.602	      -5.933	
    4.170	    -141.602	      -5.933	
    4.180	    -140.381	      -5.933	
    4.190	    -140.381	      -5.933	
    4.200	    -140.381	      -5.933	
    4.210	    -140.381	      -5.914	
    4.220	    -141.602	      -5.951	
    4.231	    -140.381	      -5.933	
    4.241	    -142.822	      -5.933	
    4.251	    -141.602	      -5.914	
    4.261	    -141.602	      -5.933	
    4.271	    -141.602	      -5.933	
    4.281	    -141.602	      -5.914	
    4.291	    -140.381	      -5.933	
    4.301	    -140.381	      -5.951	
    4.311	    -140.381	      -5.933	
    4.320	    -141.602	      -5.914	
    4.331	    -140.381	      -5.933	
    4.340	    -140.381	      -5.914	
    4.350	    -140.381	      -5.914	
    4.360	    -141.602	      -5.933	
    4.370	    -141.602	      -5.914	
    4.380	    -140.381	      -5.933	
    4.390	    -140.381	      -5.914	
    4.400	    -140.381	      -5.933	
    4.410	    -140.381	      -5.933	
    4.420	    -140.381	      -5.933	
    4.431	    -141.602	      -5.914	
    4.440	    -140.381	      -5.933	
    4.451	    -140.381	      -5.914	
    4.461	    -140.381	      -5.933	
    4.471	    -141.602	      -5.914	
    4.481	    -141.602	      -5.933	
    4.491	    -140.381	      -5.933	
    4.501	    -140.381	      -5.933	
    4.511	    -141.602	      -5.933	
    4.521	    -140.381	      -5.933	
    4.531	    -141.602	      -5.914	
    4.540	    -140.381	      -5.933	
    4.550	    -141.602	      -5.914	
    4.560	    -141.602	      -5.933	
    4.570	    -140.381	      -5.933	
    4.580	    -140.381	      -5.951	
    4.590	    -140.381	      -5.933	
    4.600	    -141.602	      -5.914	
    4.610	    -141.602	      -5.914	
    4.620	    -141.602	      -5.933	
    4.630	    -141.602	      -5.914	
    4.640	    -140.381	      -5.933	
    4.650	    -140.381	      -5.914	
    4.660	    -140.381	      -5.933	
    4.671	    -141.602	      -5.914	
    4.681	    -141.602	      -5.933	
    4.690	    -142.822	      -5.914	
    4.701	    -142.822	      -5.914	
    4.711	    -140.381	      -5.933	
    4.721	    -141.602	      -5.914	
    4.731	    -142.822	      -5.933	
    4.741	    -140.381	      -5.933	
    4.751	    -141.602	      -5.933	
    4.760	    -141.602	      -5.933	
    4.770	    -140.381	      -5.914	
    4.780	    -140.381	      -5.933	
    4.790	    -140.381	      -5.933	
    4.800	    -139.160	      -5.933	
    4.810	    -155.029	      -5.951	
    4.820	    -177.002	      -5.988	
    4.830	    -168.457	      -5.988	
    4.840	    -172.119	      -5.988	
    4.850	    -209.961	      -6.061	
    4.860	    -178.223	      -6.024	
    4.870	    -200.195	      -6.042	
    4.880	    -263.672	      -6.171	
    4.891	    -268.555	      -6.244	
    4.901	    -279.541	      -6.299	
    4.911	    -216.064	      -6.207	
    4.921	    -178.223	      -6.116	
    4.931	    -258.789	      -6.226	
    4.941	    -294.189	      -6.335	
    4.951	    -177.002	      -6.171	
    4.961	    -157.471	      -6.061	
    4.971	    -111.084	      -5.969	
    4.981	     -74.463	      -5.786	
    4.991	     -59.814	      -5.658	
    5.000	     -81.787	      -5.695	
    5.010	     -73.242	      -5.695	
    5.020	     -98.877	      -5.731	
    5.030	     -76.904	      -5.695	
    5.040	     -54.932	      -5.585	
    5.050	    -123.291	      -5.786	
    5.060	    -168.457	      -5.951	
    5.070	    -170.898	      -5.988	
    5.080	    -202.637	      -6.042	
    5.091	    -222.168	      -6.116	
    5.100	    -214.844	      -6.134	
    5.111	    -164.795	      -6.042	
    5.121	    -179.443	      -6.061	
    5.131	    -194.092	      -6.079	
    5.141	    -253.906	      -6.207	
    5.151	    -208.740	      -6.189	
    5.161	    -189.209	      -6.134	
    5.171	    -133.057	      -6.006	
    5.181	    -122.070	      -5.933	
    5.191	     -96.436	      -5.859	
    5.200	    -169.678	      -5.988	
    5.210	    -212.402	      -6.116	
    5.220	    -142.822	      -6.024	
    5.230	    -163.574	      -6.006	
    5.240	    -191.650	      -6.097	
    5.250	    -220.947	      -6.134	
    5.260	    -146.484	      -6.024	
    5.270	     -95.215	      -5.859	
    5.280	     -90.332	      -5.823	
    5.290	    -141.602	      -5.914	
    5.300	    -216.064	      -6.116	
    5.310	    -270.996	      -6.244	
    5.320	    -214.844	      -6.207	
    5.331	    -130.615	      -6.024	
    5.341	    -102.539	      -5.896	
    5.351	    -108.643	      -5.878	
    5.361	     -83.008	      -5.804	
    5.371	     -64.697	      -5.695	
    5.381	     -84.229	      -5.695	
    5.391	     -69.580	      -5.695	
    5.401	     -41.504	      -5.511	
    5.411	     -54.932	      -5.475	
    5.421	     -84.229	      -5.585	
    5.431	    -101.318	      -5.676	
    5.440	    -118.408	      -5.750	
    5.450	    -157.471	      -5.878	
    5.460	    -139.160	      -5.896	
    5.470	    -102.539	      -5.804	
    5.480	     -54.932	      -5.566	
    5.490	     -83.008	      -5.621	
    5.500	    -131.836	      -5.804	
    5.510	    -186.768	      -5.969	
    5.520	    -213.623	      -6.079	
    5.531	    -225.830	      -6.134	
    5.540	    -155.029	      -6.024	
    5.551	    -136.719	      -5.951	
    5.561	    -208.740	      -6.079	
    5.571	    -181.885	      -6.079	
    5.581	    -112.305	      -5.914	
    5.591	     -79.346	      -5.768	
    5.601	     -58.594	      -5.621	
    5.611	     -70.801	      -5.603	
    5.621	     -91.553	      -5.676	
    5.631	     -68.359	      -5.621	
    5.640	     -47.607	      -5.511	
    5.650	     -64.697	      -5.530	
    5.660	     -90.332	      -5.621	
    5.670	     -68.359	      -5.585	
    5.680	     -39.063	      -5.420	
    5.690	     -43.945	      -5.347	
    5.700	     -35.400	      -5.292	
    5.710	     -32.959	      -5.219	
    5.720	     -64.697	      -5.347	
    5.730	     -63.477	      -5.383	
    5.740	     -98.877	      -5.548	
    5.750	    -146.484	      -5.786	
    5.760	    -102.539	      -5.713	
    5.771	    -109.863	      -5.695	
    5.781	    -125.732	      -5.750	
    5.791	    -101.318	      -5.713	
    5.801	     -92.773	      -5.658	
    5.811	    -117.188	      -5.713	
    5.821	    -137.939	      -5.786	
    5.831	    -159.912	      -5.859	
    5.841	    -142.822	      -5.859	
    5.851	    -220.947	      -6.042	
    5.861	    -209.961	      -6.116	
    5.871	    -144.043	      -5.969	
    5.880	     -84.229	      -5.786	
    5.890	     -62.256	      -5.603	
    5.900	    -120.850	      -5.750	
    5.910	     -95.215	      -5.731	
    5.920	    -136.719	      -5.823	
    5.930	    -120.850	      -5.823	
    5.940	    -108.643	      -5.786	
    5.950	    -181.885	      -5.951	
    5.960	    -164.795	      -5.969	
    5.971	    -114.746	      -5.859	
    5.980	    -166.016	      -5.933	
    5.991	    -223.389	      -6.097	
    6.001	    -241.699	      -6.171	
    6.011	    -207.520	      -6.152	
    6.021	    -106.201	      -5.914	
    6.031	    -144.043	      -5.914	
    6.041	    -103.760	      -5.841	
    6.051	     -85.449	      -5.731	
    6.061	     -61.035	      -5.640	
    6.071	     -92.773	      -5.676	
