" CRUSH DATA"
"Data file SS05.txt"
"Time is 11:25:06.73."
"Date is  1-28-2005."
"TIME"	"LOAD "	"RAM"	
"Seconds"	"kN"	"MM"	
     .780	     -42.725	      -5.914	
     .800	     -42.725	      -5.896	
     .820	     -43.945	      -5.896	
     .841	     -42.725	      -5.914	
     .861	     -42.725	      -5.896	
     .881	     -42.725	      -5.914	
     .901	     -42.725	      -5.914	
     .921	     -42.725	      -5.896	
     .940	     -42.725	      -5.896	
     .960	     -43.945	      -5.914	
     .980	     -42.725	      -5.896	
    1.000	     -43.945	      -5.896	
    1.020	     -45.166	      -5.914	
    1.040	     -42.725	      -5.896	
    1.061	     -42.725	      -5.914	
    1.081	     -41.504	      -5.914	
    1.101	     -42.725	      -5.914	
    1.121	     -43.945	      -5.896	
    1.141	     -42.725	      -5.914	
    1.160	     -43.945	      -5.914	
    1.180	     -42.725	      -5.896	
    1.200	     -42.725	      -5.914	
    1.220	     -42.725	      -5.896	
    1.240	     -41.504	      -5.914	
    1.260	     -41.504	      -5.914	
    1.281	     -42.725	      -5.914	
    1.301	     -41.504	      -5.896	
    1.321	     -45.166	      -5.933	
    1.341	     -25.635	      -5.676	
    1.361	     -35.400	      -5.750	
    1.380	     -84.229	      -6.335	
    1.400	     -85.449	      -6.555	
    1.420	     -48.828	      -6.244	
    1.440	    -115.967	      -6.958	
    1.461	     -70.801	      -6.848	
    1.480	     -46.387	      -6.519	
    1.501	     -23.193	      -5.896	
    1.521	     -13.428	      -5.347	
    1.541	     -34.180	      -5.713	
    1.561	     -45.166	      -6.042	
    1.581	     -10.986	      -5.255	
    1.600	     -34.180	      -5.676	
    1.620	     -24.414	      -5.603	
    1.640	     -43.945	      -5.896	
    1.660	     -53.711	      -6.152	
    1.680	      -4.883	      -4.669	
    1.700	     -32.959	      -5.292	
    1.721	     -18.311	      -5.127	
    1.741	     -18.311	      -5.109	
    1.761	     -29.297	      -5.420	
    1.781	     -40.283	      -5.731	
    1.801	     -62.256	      -6.207	
    1.820	     -59.814	      -6.317	
    1.840	     -85.449	      -6.720	
    1.860	    -122.070	      -7.416	
    1.880	    -128.174	      -7.819	
    1.901	     -72.021	      -7.507	
    1.920	    -150.146	      -8.185	
    1.941	     -65.918	      -7.800	
    1.961	     -37.842	      -7.233	
