" CRUSH DATA"
"Data file SS05.txt"
"Time is 11:00:52.36."
"Date is  1-28-2005."
"TIME"	"LOAD "	"RAM"	
"Seconds"	"kN"	"MM"	
    7.200	     -81.787	      -5.914	
    7.220	     -80.566	      -5.914	
    7.240	     -80.566	      -5.914	
    7.260	     -79.346	      -5.914	
    7.280	     -80.566	      -5.896	
    7.300	     -80.566	      -5.914	
    7.320	     -81.787	      -5.896	
    7.340	     -80.566	      -5.914	
    7.361	     -81.787	      -5.896	
    7.381	     -80.566	      -5.896	
    7.401	     -80.566	      -5.914	
    7.421	     -79.346	      -5.914	
    7.441	     -80.566	      -5.914	
    7.460	     -80.566	      -5.914	
    7.480	     -81.787	      -5.896	
    7.500	     -80.566	      -5.914	
    7.520	     -80.566	      -5.914	
    7.541	     -81.787	      -5.914	
    7.560	     -81.787	      -5.896	
    7.581	     -81.787	      -5.914	
    7.601	     -80.566	      -5.896	
    7.621	     -80.566	      -5.896	
    7.641	     -79.346	      -5.896	
    7.661	     -81.787	      -5.896	
    7.680	     -80.566	      -5.914	
    7.700	     -80.566	      -5.914	
    7.720	     -79.346	      -5.914	
    7.740	     -81.787	      -5.896	
    7.760	     -79.346	      -5.914	
    7.780	     -81.787	      -5.914	
    7.801	     -80.566	      -5.914	
    7.821	     -80.566	      -5.914	
    7.841	     -80.566	      -5.896	
    7.861	     -81.787	      -5.896	
    7.881	     -81.787	      -5.914	
    7.900	     -81.787	      -5.914	
    7.920	     -64.697	      -5.859	
    7.940	     -34.180	      -5.658	
    7.960	     -76.904	      -5.804	
    7.981	    -124.512	      -6.042	
    8.000	     -12.207	      -5.328	
    8.020	     -86.670	      -5.786	
    8.041	     -48.828	      -5.695	
    8.061	    -113.525	      -5.951	
    8.081	    -151.367	      -6.171	
    8.101	       0.000	      -4.651	
    8.120	     -52.490	      -5.273	
    8.140	     -18.311	      -5.145	
    8.160	     -29.297	      -5.090	
    8.180	     -59.814	      -5.420	
    8.200	     -90.332	      -5.713	
    8.220	    -163.574	      -6.207	
    8.241	    -155.029	      -6.317	
    8.261	    -231.934	      -6.702	
    8.281	    -334.473	      -7.379	
    8.301	    -384.521	      -7.819	
    8.321	    -201.416	      -7.544	
    8.340	    -494.385	      -8.185	
    8.360	    -197.754	      -7.819	
    8.380	    -104.980	      -7.251	
    8.400	     -74.463	      -6.848	
    8.421	    -113.525	      -6.940	
    8.440	     -51.270	      -6.537	
    8.461	     -28.076	      -5.951	
    8.480	     -39.063	      -5.878	
    8.501	     -12.207	      -5.365	
    8.521	      -9.766	      -5.017	
    8.541	     -36.621	      -5.347	
    8.560	     -59.814	      -5.640	
    8.580	     -24.414	      -5.383	
    8.600	     -45.166	      -5.493	
    8.620	     -80.566	      -5.841	
    8.640	     -98.877	      -6.116	
    8.660	     -57.373	      -5.914	
    8.681	     -25.635	      -5.548	
    8.701	    -129.395	      -6.281	
    8.721	     -50.049	      -5.988	
    8.741	     -13.428	      -5.310	
    8.761	      -9.766	      -4.980	
    8.780	      -1.221	      -4.523	
    8.800	     -63.477	      -5.438	
    8.820	    -153.809	      -6.445	
    8.840	    -100.098	      -6.409	
    8.861	    -106.201	      -6.409	
    8.880	     -34.180	      -5.823	
    8.901	     -97.656	      -6.171	
    8.921	     -69.580	      -6.079	
    8.940	     -57.373	      -5.988	
    8.961	     -25.635	      -5.621	
    8.981	    -117.188	      -6.244	
    9.000	     -31.738	      -5.768	
    9.020	     -14.648	      -5.273	
    9.039	     -39.063	      -5.438	
    9.060	     -31.738	      -5.438	
    9.080	    -133.057	      -6.281	
