" CRUSH DATA"
"Data file SS05.txt"
"Time is 14:55:07.74."
"Date is  1-26-2005."
"TIME"	"LOAD "	"RAM"	
"Seconds"	"kN"	"MM"	
    1.900	     -79.346	      -5.933	
    1.910	     -76.904	      -5.933	
    1.920	     -78.125	      -5.933	
    1.930	     -79.346	      -5.933	
    1.940	     -78.125	      -5.914	
    1.950	     -79.346	      -5.933	
    1.960	     -79.346	      -5.933	
    1.970	     -78.125	      -5.933	
    1.980	     -78.125	      -5.933	
    1.990	     -79.346	      -5.933	
    2.001	     -78.125	      -5.933	
    2.009	     -78.125	      -5.914	
    2.019	     -79.346	      -5.933	
    2.030	     -79.346	      -5.933	
    2.040	     -78.125	      -5.933	
    2.051	     -78.125	      -5.933	
    2.061	     -78.125	      -5.933	
    2.071	     -79.346	      -5.933	
    2.081	     -78.125	      -5.933	
    2.091	     -78.125	      -5.914	
    2.101	     -79.346	      -5.914	
    2.111	     -76.904	      -5.933	
    2.121	     -78.125	      -5.933	
    2.130	     -76.904	      -5.914	
    2.140	     -78.125	      -5.933	
    2.150	     -79.346	      -5.914	
    2.160	     -78.125	      -5.914	
    2.170	     -78.125	      -5.933	
    2.180	     -78.125	      -5.933	
    2.190	     -78.125	      -5.933	
    2.200	     -78.125	      -5.933	
    2.210	     -79.346	      -5.933	
    2.220	     -78.125	      -5.914	
    2.230	     -79.346	      -5.933	
    2.240	     -78.125	      -5.933	
    2.252	     -79.346	      -5.914	
    2.259	     -79.346	      -5.914	
    2.271	     -78.125	      -5.914	
    2.281	     -78.125	      -5.914	
    2.295	     -78.125	      -5.933	
    2.307	     -78.125	      -5.933	
    2.312	     -79.346	      -5.933	
    2.322	     -79.346	      -5.933	
    2.330	     -79.346	      -5.914	
    2.346	     -78.125	      -5.933	
    2.353	     -79.346	      -5.933	
    2.368	     -79.346	      -5.914	
    2.376	     -78.125	      -5.933	
    2.382	     -78.125	      -5.933	
    2.395	     -78.125	      -5.933	
    2.401	     -79.346	      -5.933	
    2.411	     -78.125	      -5.933	
    2.421	     -79.346	      -5.933	
    2.431	     -76.904	      -5.933	
    2.441	     -78.125	      -5.933	
    2.451	     -76.904	      -5.933	
    2.461	     -76.904	      -5.933	
    2.471	     -79.346	      -5.933	
    2.480	     -78.125	      -5.914	
    2.491	     -78.125	      -5.933	
    2.501	     -79.346	      -5.933	
    2.510	     -79.346	      -5.933	
    2.521	     -79.346	      -5.914	
    2.531	     -78.125	      -5.933	
    2.541	     -78.125	      -5.933	
    2.551	     -76.904	      -5.933	
    2.561	     -78.125	      -5.933	
    2.571	     -79.346	      -5.933	
    2.581	     -76.904	      -5.933	
    2.591	     -78.125	      -5.933	
    2.601	     -79.346	      -5.914	
    2.610	     -78.125	      -5.933	
    2.620	     -78.125	      -5.933	
    2.630	     -78.125	      -5.914	
    2.640	     -75.684	      -5.914	
    2.650	     -83.008	      -5.951	
    2.660	     -78.125	      -5.933	
    2.670	     -56.152	      -5.823	
    2.680	     -47.607	      -5.713	
    2.690	     -35.400	      -5.566	
    2.700	     -56.152	      -5.676	
    2.711	    -100.098	      -5.951	
    2.721	    -109.863	      -6.061	
    2.731	    -111.084	      -6.079	
    2.741	     -73.242	      -5.933	
    2.751	     -85.449	      -5.933	
    2.761	     -91.553	      -6.006	
    2.771	     -85.449	      -5.988	
    2.781	     -62.256	      -5.859	
    2.791	     -92.773	      -5.969	
    2.801	     -72.021	      -5.914	
    2.811	     -43.945	      -5.695	
    2.821	     -48.828	      -5.676	
    2.830	     -48.828	      -5.658	
    2.840	     -84.229	      -5.859	
    2.850	    -114.746	      -6.079	
    2.860	     -92.773	      -6.061	
    2.870	    -102.539	      -6.061	
    2.880	    -137.939	      -6.207	
    2.890	    -112.305	      -6.189	
    2.900	    -129.395	      -6.207	
    2.910	    -161.133	      -6.390	
    2.921	    -155.029	      -6.464	
    2.931	    -158.691	      -6.500	
    2.941	    -117.188	      -6.372	
    2.951	     -91.553	      -6.244	
    2.961	    -140.381	      -6.390	
    2.971	    -158.691	      -6.537	
    2.981	     -89.111	      -6.281	
    2.991	     -85.449	      -6.152	
    3.001	     -61.035	      -6.006	
    3.011	     -43.945	      -5.786	
    3.021	     -37.842	      -5.658	
    3.030	     -51.270	      -5.676	
    3.040	     -43.945	      -5.658	
    3.050	     -59.814	      -5.750	
    3.060	     -46.387	      -5.676	
    3.070	     -34.180	      -5.530	
    3.080	     -70.801	      -5.804	
    3.090	     -91.553	      -5.969	
    3.100	     -93.994	      -6.024	
    3.110	    -111.084	      -6.134	
    3.121	    -119.629	      -6.207	
    3.130	    -109.863	      -6.226	
    3.140	     -85.449	      -6.134	
    3.151	     -98.877	      -6.152	
    3.161	    -106.201	      -6.189	
    3.171	    -139.160	      -6.335	
    3.180	    -112.305	      -6.317	
    3.191	    -103.760	      -6.244	
    3.201	     -73.242	      -6.079	
    3.211	     -68.359	      -6.006	
    3.220	     -56.152	      -5.914	
    3.231	     -97.656	      -6.097	
    3.241	    -120.850	      -6.262	
    3.251	     -76.904	      -6.097	
    3.260	     -89.111	      -6.116	
    3.270	    -103.760	      -6.171	
    3.280	    -118.408	      -6.262	
    3.290	     -75.684	      -6.116	
    3.300	     -53.711	      -5.896	
    3.310	     -50.049	      -5.823	
    3.320	     -78.125	      -5.969	
    3.330	    -113.525	      -6.207	
    3.340	    -145.264	      -6.390	
    3.351	    -106.201	      -6.317	
    3.360	     -72.021	      -6.116	
    3.371	     -57.373	      -5.951	
    3.381	     -58.594	      -5.914	
    3.391	     -46.387	      -5.823	
    3.401	     -36.621	      -5.676	
    3.411	     -48.828	      -5.695	
    3.421	     -41.504	      -5.640	
    3.431	     -26.855	      -5.402	
    3.441	     -35.400	      -5.383	
    3.450	     -51.270	      -5.511	
    3.460	     -57.373	      -5.640	
    3.470	     -65.918	      -5.731	
    3.480	     -85.449	      -5.896	
    3.490	     -74.463	      -5.914	
    3.500	     -57.373	      -5.786	
    3.510	     -32.959	      -5.493	
    3.520	     -50.049	      -5.566	
    3.530	     -74.463	      -5.786	
    3.540	    -101.318	      -6.006	
    3.550	    -114.746	      -6.171	
    3.560	    -120.850	      -6.226	
    3.570	     -76.904	      -6.079	
    3.580	     -73.242	      -5.969	
    3.591	    -115.967	      -6.189	
    3.601	     -96.436	      -6.189	
    3.611	     -61.035	      -5.969	
    3.621	     -46.387	      -5.786	
    3.631	     -37.842	      -5.585	
    3.641	     -42.725	      -5.566	
    3.651	     -53.711	      -5.658	
    3.661	     -39.063	      -5.566	
    3.671	     -29.297	      -5.402	
    3.681	     -39.063	      -5.457	
    3.691	     -53.711	      -5.566	
    3.700	     -41.504	      -5.511	
    3.710	     -25.635	      -5.292	
    3.720	     -29.297	      -5.219	
    3.730	     -24.414	      -5.127	
    3.740	     -19.531	      -4.999	
    3.750	     -36.621	      -5.182	
    3.760	     -36.621	      -5.237	
    3.770	     -54.932	      -5.438	
    3.780	     -80.566	      -5.750	
    3.791	     -52.490	      -5.621	
    3.800	     -54.932	      -5.585	
    3.811	     -64.697	      -5.676	
    3.821	     -50.049	      -5.621	
    3.831	     -48.828	      -5.566	
    3.841	     -62.256	      -5.658	
    3.851	     -72.021	      -5.731	
    3.861	     -85.449	      -5.841	
    3.871	     -72.021	      -5.823	
    3.881	    -117.188	      -6.097	
    3.890	    -109.863	      -6.189	
    3.900	     -78.125	      -6.024	
    3.910	     -45.166	      -5.750	
    3.920	     -35.400	      -5.530	
    3.930	     -65.918	      -5.713	
    3.940	     -53.711	      -5.676	
    3.950	     -73.242	      -5.823	
    3.960	     -65.918	      -5.823	
    3.970	     -59.814	      -5.768	
    3.980	     -98.877	      -6.006	
    3.990	     -86.670	      -6.006	
    4.000	     -63.477	      -5.859	
    4.010	     -97.656	      -5.988	
    4.019	    -123.291	      -6.189	
    4.031	    -129.395	      -6.281	
    4.041	    -108.643	      -6.226	
    4.051	     -57.373	      -5.914	
    4.061	     -78.125	      -5.951	
    4.071	     -58.594	      -5.841	
    4.081	     -46.387	      -5.713	
    4.091	     -35.400	      -5.548	
    4.101	     -53.711	      -5.640	
    4.111	     -76.904	      -5.841	
    4.121	     -90.332	      -5.969	
    4.131	     -68.359	      -5.914	
    4.140	     -52.490	      -5.768	
    4.150	     -53.711	      -5.713	
    4.160	     -74.463	      -5.859	
    4.170	     -78.125	      -5.914	
    4.180	     -83.008	      -5.951	
    4.190	    -122.070	      -6.171	
    4.200	    -128.174	      -6.299	
    4.210	     -80.566	      -6.116	
    4.220	     -56.152	      -5.859	
    4.232	     -59.814	      -5.823	
    4.240	     -70.801	      -5.896	
    4.251	     -40.283	      -5.676	
    4.261	     -56.152	      -5.695	
    4.271	     -41.504	      -5.585	
    4.281	     -34.180	      -5.457	
    4.291	     -54.932	      -5.640	
    4.301	     -67.139	      -5.768	
    4.311	     -83.008	      -5.914	
    4.321	     -80.566	      -5.933	
    4.330	     -57.373	      -5.804	
    4.340	     -81.787	      -5.878	
    4.350	     -67.139	      -5.878	
    4.360	     -83.008	      -5.951	
    4.370	    -117.188	      -6.152	
    4.380	    -118.408	      -6.226	
    4.390	     -79.346	      -6.061	
    4.400	     -67.139	      -5.933	
    4.410	    -100.098	      -6.097	
    4.420	     -78.125	      -6.042	
    4.430	     -51.270	      -5.823	
    4.440	     -39.063	      -5.640	
    4.450	     -59.814	      -5.695	
    4.460	     -79.346	      -5.878	
    4.471	     -84.229	      -5.969	
    4.480	     -58.594	      -5.823	
    4.491	     -52.490	      -5.750	
    4.501	     -43.945	      -5.676	
    4.511	     -46.387	      -5.658	
    4.521	     -39.063	      -5.585	
    4.531	     -76.904	      -5.841	
    4.541	    -111.084	      -6.116	
    4.551	     -76.904	      -6.006	
    4.561	     -48.828	      -5.768	
    4.571	     -47.607	      -5.695	
    4.580	     -47.607	      -5.676	
    4.590	     -34.180	      -5.530	
    4.600	     -61.035	      -5.695	
    4.610	     -75.684	      -5.841	
    4.620	     -48.828	      -5.695	
    4.630	     -61.035	      -5.731	
    4.640	     -87.891	      -5.933	
    4.650	    -106.201	      -6.079	
    4.660	    -140.381	      -6.317	
    4.671	    -148.926	      -6.445	
    4.680	    -100.098	      -6.299	
    4.690	     -64.697	      -6.006	
    4.701	     -52.490	      -5.859	
    4.711	     -53.711	      -5.804	
    4.721	     -54.932	      -5.804	
    4.731	     -72.021	      -5.914	
    4.741	     -62.256	      -5.896	
    4.751	     -84.229	      -6.006	
    4.761	     -80.566	      -6.024	
    4.770	    -112.305	      -6.152	
    4.780	    -102.539	      -6.207	
    4.790	     -65.918	      -6.006	
    4.800	     -79.346	      -6.006	
    4.810	     -70.801	      -5.969	
    4.820	     -80.566	      -6.024	
    4.830	     -70.801	      -6.006	
    4.840	     -90.332	      -6.061	
    4.850	    -131.836	      -6.299	
    4.860	    -101.318	      -6.244	
    4.870	     -75.684	      -6.097	
    4.880	     -83.008	      -6.097	
    4.890	     -74.463	      -6.079	
    4.900	     -50.049	      -5.896	
    4.911	     -59.814	      -5.859	
    4.921	     -51.270	      -5.823	
    4.931	     -43.945	      -5.731	
    4.941	     -31.738	      -5.475	
    4.951	     -23.193	      -5.255	
    4.961	     -37.842	      -5.347	
    4.971	     -65.918	      -5.676	
    4.981	     -47.607	      -5.621	
    4.990	     -42.725	      -5.511	
    5.000	     -57.373	      -5.621	
    5.010	     -48.828	      -5.621	
    5.020	     -58.594	      -5.658	
    5.030	     -72.021	      -5.786	
    5.040	     -74.463	      -5.804	
    5.050	     -74.463	      -5.823	
    5.060	    -100.098	      -6.024	
    5.070	    -124.512	      -6.244	
    5.080	    -135.498	      -6.317	
    5.090	    -157.471	      -6.464	
    5.100	    -180.664	      -6.647	
    5.110	    -130.615	      -6.592	
    5.120	     -93.994	      -6.390	
    5.131	     -65.918	      -6.134	
    5.140	     -53.711	      -5.951	
    5.151	     -52.490	      -5.914	
    5.161	     -83.008	      -6.061	
    5.171	     -74.463	      -6.079	
    5.181	     -57.373	      -5.969	
    5.191	     -58.594	      -5.933	
    5.200	     -57.373	      -5.914	
    5.211	     -78.125	      -6.024	
    5.221	    -100.098	      -6.171	
    5.231	    -179.443	      -6.628	
    5.240	    -162.354	      -6.793	
    5.250	    -140.381	      -6.702	
    5.260	    -108.643	      -6.573	
    5.270	    -122.070	      -6.573	
    5.280	    -102.539	      -6.537	
    5.290	     -54.932	      -6.152	
    5.300	     -65.918	      -6.061	
    5.310	     -50.049	      -5.951	
    5.320	     -35.400	      -5.768	
    5.331	     -59.814	      -5.896	
    5.340	     -64.697	      -5.969	
    5.351	     -45.166	      -5.823	
    5.361	     -34.180	      -5.640	
    5.371	     -21.973	      -5.328	
    5.381	     -26.855	      -5.200	
    5.391	     -45.166	      -5.420	
    5.401	     -52.490	      -5.603	
    5.411	     -70.801	      -5.804	
    5.421	     -91.553	      -6.024	
    5.430	    -142.822	      -6.427	
    5.440	    -107.422	      -6.445	
    5.450	    -113.525	      -6.390	
    5.460	    -111.084	      -6.427	
    5.470	    -119.629	      -6.445	
    5.480	     -79.346	      -6.299	
    5.490	     -74.463	      -6.189	
    5.500	     -81.787	      -6.207	
    5.510	    -115.967	      -6.390	
    5.520	     -92.773	      -6.335	
    5.530	     -58.594	      -6.116	
    5.540	     -70.801	      -6.134	
    5.550	     -79.346	      -6.171	
    5.560	     -81.787	      -6.189	
    5.571	     -51.270	      -6.006	
    5.581	     -47.607	      -5.878	
    5.591	     -41.504	      -5.804	
    5.601	     -53.711	      -5.841	
    5.611	     -52.490	      -5.878	
    5.621	     -68.359	      -5.951	
    5.631	    -120.850	      -6.317	
    5.641	    -142.822	      -6.537	
    5.651	    -118.408	      -6.500	
    5.661	     -91.553	      -6.372	
    5.671	     -68.359	      -6.207	
    5.680	     -53.711	      -6.042	
    5.690	     -41.504	      -5.841	
    5.700	     -21.973	      -5.420	
    5.710	     -23.193	      -5.200	
    5.720	     -37.842	      -5.365	
    5.730	     -51.270	      -5.585	
    5.740	     -57.373	      -5.676	
    5.750	     -85.449	      -5.951	
    5.760	     -74.463	      -6.024	
    5.771	     -95.215	      -6.116	
    5.780	    -109.863	      -6.262	
    5.791	    -158.691	      -6.573	
    5.801	    -163.574	      -6.720	
    5.811	    -153.809	      -6.738	
    5.821	    -108.643	      -6.573	
    5.831	     -68.359	      -6.281	
    5.841	     -64.697	      -6.152	
    5.851	    -113.525	      -6.390	
    5.861	    -151.367	      -6.628	
    5.870	    -136.719	      -6.647	
    5.880	     -80.566	      -6.409	
    5.890	     -64.697	      -6.226	
    5.900	     -51.270	      -6.042	
    5.910	     -56.152	      -6.024	
    5.920	     -39.063	      -5.823	
    5.930	     -50.049	      -5.823	
    5.940	     -46.387	      -5.804	
    5.950	     -32.959	      -5.676	
    5.960	     -26.855	      -5.493	
    5.970	     -26.855	      -5.438	
    5.980	     -41.504	      -5.548	
    5.990	     -67.139	      -5.786	
    6.000	     -64.697	      -5.896	
    6.011	     -48.828	      -5.786	
    6.021	     -46.387	      -5.731	
    6.031	     -78.125	      -5.951	
    6.041	     -97.656	      -6.152	
    6.051	     -72.021	      -6.079	
    6.061	    -112.305	      -6.281	
    6.071	    -111.084	      -6.372	
    6.080	     -98.877	      -6.354	
    6.091	     -70.801	      -6.189	
    6.101	     -64.697	      -6.079	
    6.111	     -56.152	      -6.024	
    6.120	     -57.373	      -5.969	
    6.130	     -56.152	      -5.969	
    6.140	     -46.387	      -5.914	
    6.150	     -50.049	      -5.878	
    6.160	     -65.918	      -5.951	
    6.170	     -52.490	      -5.878	
    6.180	     -50.049	      -5.878	
    6.190	     -73.242	      -6.006	
    6.200	     -59.814	      -5.951	
    6.211	     -29.297	      -5.603	
    6.220	     -40.283	      -5.548	
    6.231	     -41.504	      -5.640	
    6.241	     -78.125	      -5.969	
    6.251	    -115.967	      -6.299	
    6.261	    -146.484	      -6.555	
    6.271	    -140.381	      -6.628	
    6.281	    -126.953	      -6.573	
    6.291	    -174.561	      -6.757	
